URL,Material,TotalArea,RoomsNumber,FloorNumberCoeff,Latitude,Longitude,Distance,ApartmentAge,Price
https://blagovist.ua/object/285240628,4,68,2,0.8076923076923077,50.4093219,30.5069972,4708.290998214433,26,105000
https://blagovist.ua/object/419778297,2,80.1,3,0.375,50.4184674,30.6427494,9153.743219003696,26,70000
https://blagovist.ua/object/201362526,3,250,4,1.0,50.4017441,30.614014,8373.014156090798,6,980000
https://blagovist.ua/object/419851091,1,93,3,0.1875,50.4450228,30.4460295,5559.655706191138,6,159000
https://blagovist.ua/object/419533502,1,208,6,0.96,50.3932184,30.6150974,9068.26973368761,11,370000
https://blagovist.ua/object/420639787,2,96,3,1.0,50.518371,30.610863,9777.258610029148,26,97000
https://blagovist.ua/object/108753,1,294,5,0.6666666666666666,50.4415448,30.5488325,2020.0267891303756,81,2000000
https://blagovist.ua/object/33660103,1,264,4,0.35294117647058826,50.441015,30.524286,1027.951676121142,16,1000000
https://blagovist.ua/object/33660833,1,85,2,0.7916666666666666,50.4703648,30.47331,4231.385326326498,1,125000
https://blagovist.ua/object/419990159,1,130,3,0.5,50.3798286,30.705784,15109.932984258763,11,105000
https://blagovist.ua/object/419996866,2,36.3,1,0.9230769230769231,50.4618821,30.5917423,4991.013202809302,1,57000
https://blagovist.ua/object/421044162,1,114,3,1.0,50.4547376,30.5025047,1597.7848409673309,81,370000
https://blagovist.ua/object/420810172,1,60,2,0.08333333333333333,50.400534,30.5203091,5536.497684931707,11,115000
https://blagovist.ua/object/117485609,4,60.5,3,0.8888888888888888,50.455443,30.3959339,9105.614368722661,39,60000
https://blagovist.ua/object/117484548,1,95,2,0.46153846153846156,50.4545297,30.4851769,2789.5015227325275,6,150000
https://blagovist.ua/object/67147615,2,69.9,3,0.9,50.4176823,30.6587716,10243.458561523943,23,70000
https://blagovist.ua/object/419607428,1,71,3,0.4,50.4322611,30.3968316,9242.798885823715,25,63000
https://blagovist.ua/object/201356380,1,177,4,0.5,50.4653975,30.5132919,1844.8870213694956,11,355000
https://blagovist.ua/object/117485263,1,186,3,0.8095238095238095,50.407541,30.556827,5296.421686790718,1,550000
https://blagovist.ua/object/201362294,1,105,3,0.35294117647058826,50.4414199,30.4964855,2179.418743695166,11,300000
https://blagovist.ua/object/419904288,1,155,5,1.0,50.4524085,30.5085842,1112.2397250912627,110,450000
https://blagovist.ua/object/402653880,1,87,4,0.3333333333333333,50.370746,30.454668,10118.575908828712,23,58000
https://blagovist.ua/object/201360563,1,61,1,0.4666666666666667,50.4200596,30.5298703,3385.532664100305,6,155000
https://blagovist.ua/object/419829620,1,211,3,0.8181818181818182,50.4371674,30.6180344,6844.429923181298,6,189000
https://blagovist.ua/object/50366947,1,115.3,3,0.6,50.4248548,30.5231196,2825.73026923009,1,230000
https://blagovist.ua/object/419986322,1,57,2,0.2,50.4433011,30.546922,1810.3936021682186,81,119000
https://blagovist.ua/object/285221983,1,97,2,0.88,50.400534,30.5203092,5536.497360011919,11,200000
https://blagovist.ua/object/117476505,1,115,3,0.16,50.430131,30.456762,5266.186350599082,11,160000
